name,display_name,categories,display_categories,description,address,phone,website,source,latitude,longitude,yelp_alias,yelp_api,yelp_id
all flavor no grease,All Flavor No Grease,Restaurants,Restaurants,"All Flavor No Grease,","728 E 108th St Los Angeles, CA 90059",323-318-0409,https://www.instagram.com/allflavornogrease/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.93804,-118.26194,all-flavor-no-grease-los-angeles,true,3jfH3FY3jH16d6U57lBe_A
alta adams,Alta West Adams,Restaurants,Restaurants,,"5359 West Adams Blvd Los Angeles, CA 90016",323-571-4999,https://www.altaadams.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.03278,-118.35994,alta-west-adams-los-angeles,true,qX4i4xyc-8Im4PLpJX-L8g
anjahles,Anjahles,Restaurants,Restaurants,,,323-300-4054,,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
annie's soul delicious,Annie's Soul Delicious,Restaurants,Restaurants,,"1066 S Fairfax Ave Los Angeles, CA 90019",323-424-7402,https://www.anniessouldelicious.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.05624,-118.36439,annies-soul-delicious-los-angeles,true,5LU6aNLDG10imXu3btmlcw
antidote eats,Antidote Eats,Restaurants,Restaurants,,"Los Angeles, CA 90012",562-977-3366,,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0653347,-118.243891,antidote-eats-los-angeles,true,v2ZkGJqt2CThUzTKW_Zfhg
ashley cunningham,Ashley Cunningham,Restaurants,Restaurants,,,818-272-4502,https://www.youtube.com/user/ashleyamari,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
awash restaurant,Awash Restaurant,Restaurants,Restaurants,"Awash, 5990 W. Pico Blvd., Los Angeles, (323) 939-3233,","5990 1/2 W Pico Blvd Los Angeles, CA 90035",323-939-3233,http://awash.cafes-world.com/?fbclid=IwAR0qaupV4ZIPPgn0ClWlYCzX-Bw5HmrN6S6eYzjwpxofVzyEfqkAVYoKaJY,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.05198,-118.37067,awash-restaurant-los-angeles,true,Xt_y5kSJJs3smGys0_Wm8w
ayda ethiopian restaurant,Ayda Ethiopian Restaurant,Restaurants,Restaurants,,"24940 Redlands Blvd Loma Linda, CA 92354",909-799-6700,https://www.aydaethiopian.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0631949,-117.2603084,ayda-ethiopian-restaurant-loma-linda,true,Xgc10RBy9KOqB5PNIkMLmQ
azla vegan,Azla,Restaurants,Restaurants,,"4309 Leimert Blvd Los Angeles, CA 90008",323-596-3028,https://azlavegan.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.005315,-118.330316,azla-los-angeles,true,00eNYXMKgUV5vMUBBBmXmQ
b&r's old-fashion burgers,B&R's Old-Fashion Burgers,Restaurants,Restaurants,"3512 Rosecrans Ave., Hawthorne, (310) 679-4774,","3512 W Rosecrans Ave Hawthorne, CA 90250",310-679-4774,http://bandrburgers.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.9018861,-118.3334316,b-and-rs-old-fashion-burgers-hawthorne-2,true,Q3Pr9-ZgnGUlG4D7Lk6hdg
baba's vegan cafe,Baba'S Vegan Cafe,Restaurants,Restaurants,,"4344 Degnan Blvd Los Angeles, CA 90008",310-910-2942,https://www.babasvegancafe.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
baby love sweetery,Baby Love Sweetery,Restaurants,Restaurants,,"Los Angeles, CA 91607",818-600-2136,https://www.babylovesweetery.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.16821,-118.39846,baby-love-sweetery-los-angeles,true,zaSQ9KNp6nTAWKJ5bKtS1w
bakedt gourmet goods,Bakedt Gourmet Goods,Restaurants,Restaurants,,,,https://www.facebook.com/bakedtgourmetgoods/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
banadir somali restaurant,Banadir Somali Restaurant,Restaurants,Restaurants,,"137 W Arbor Vitae Unit C Inglewood, CA 90301",310-419-9900,http://banadir-somali-restaurant.cafe,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.95293109,-118.3558946,banadir-somali-restaurant-inglewood,true,4L6FyuHmnPqLrGgPNelATQ
barbara jean soul food,Barbara Jean La,Restaurants,Restaurants,,"3939 S Figueroa St Los Angeles, CA 90037",,http://barbarajeanla.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.012794,-118.28554,barbara-jean-la-los-angeles-2,true,RNJtirMHfF6cC3lIcSL8SA
barsha,Barsha,Restaurants,Restaurants,,"1141 Aviation Blvd Hermosa Beach, CA 90254",424-452-6266,https://www.barshalife.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.86584333,-118.3872035,barsha-hermosa-beach,true,1N5AOcZBdWS5xxOFe00nig
bayou grille,Bayou Grille,Restaurants,Restaurants,,"1400 N La Brea Ave Inglewood, CA 90302",310-673-0824,https://www.bayougrille.net/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.98036,-118.35785,bayou-grille-inglewood,true,wEhXHMhq7NpPlqx68dMT3w
bb's cafe,BB's Cafe,Restaurants,Restaurants,"BB’s Cafe, 502 N. Citrus Ave., Covina, (626) 888-4960","502 N Citrus Ave Covina, CA 91723",626-888-4960,,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.09037399,-117.8898849,bbs-cafe-covina,true,um2mX5q-jzUGkae8z3MbEw
bbq chef,BBQ Chef,Restaurants,Restaurants,,"1782 Martin Luther King Jr Ave Long Beach, CA 90813",562-612-1939,https://www.yelp.com/biz/bbq-chef,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.7895071,-118.1805079,bbq-chef-long-beach,true,b8ziV6dS946Tn0dp-mRGVQ
belizean fish market,Belizean Fish Market,Restaurants,Restaurants,,"2640 S Western Ave Los Angeles, CA 90018",323-732-5405,https://www.yelp.com/biz/belizean,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.03142548,-118.3086166,belizean-fish-market-los-angeles,true,5Q3zBMhyBrggLWLX2iytYA
belly's sliders & wings,Belly's Sliders & Wings,Restaurants,Restaurants,"Belly’s Sliders & Wings,","Carson, CA 90220",424-242-5554,https://www.bellysslidersandwings.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.8953,-118.22728,bellys-sliders-and-wings-carson,true,Xrr43w7OFe7NxREt3KWBLQ
bent soul food and bent events,Bent SOUL Food and Bent Events,Restaurants,Restaurants,,"Los Angeles, CA 90210",323-628-2856,https://bentevents.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.1030032,-118.4104684,bent-soul-food-and-bent-events-los-angeles,true,X8qqS-DXRqR0fg4SaL3y_g
beyond vegan,Beyond Vegan,Restaurants,Restaurants,,"485 S Fairfax Ave Los Angeles, CA 90036",323-530-8694,https://beyondveganlifestyle.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.067564,-118.361706,beyond-vegan-los-angeles-2,true,P9Y9fAGm_5w9DpqQgPD9-A
big ant's bbq,Big Ants BBQ,Restaurants,Restaurants,,"2207 N San Fernando Rd Los Angeles, CA 90065",323-987-0029,https://www.bigantsbbq.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.10393479,-118.2377386,big-ants-bbq-los-angeles-2,true,Auv41ZI3Rco6By1pUtEqlQ
big daddy's kickin' chicken,Big Daddy's Kickin Chicken,Restaurants,Restaurants,"Big Chicken, 252 S. Brand Blvd., Glendale, (818) 245-6886,","214 E Nutwood St Inglewood, CA 90301",424-309-9008,https://www.bigchicken.com,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.9603265,-118.3529278,big-daddys-kickin-chicken-inglewood,true,cdpHz7SJYmoVZo37pd-3LA
big fish market,Big Fish Market,Restaurants,Restaurants,,"8409 S 8th Ave Ste 1 Inglewood, CA 90305",323-750-6000,https://big-fish-market.business.site/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.9622417,-118.3265149,big-fish-market-inglewood,true,Tbk0zswbDL3hVXPOrVlh9w
billionaire burger boyz,Billionaire Burger Boyz,Restaurants,Restaurants,,"811 S Long Beach Blvd Compton, CA 90221",310-554-4116,https://www.billionaireburgerboyz.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.8893305,-118.2074657,billionaire-burger-boyz-compton,true,1ON2XXttBB7k5Z5LvZrVlw
black bottom southern kitchen,Black Bottom Southern Kitchen,Restaurants,Restaurants,,"4806 Vineland Ave North Hollywood, CA 91601",818-856-8532,https://blackbottomkitchen.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.15782,-118.36991,black-bottom-southern-kitchen-north-hollywood,true,813n1w3hzNY6rYasOhk-CA
black cat bbq,Black Cat BBQ,Restaurants,Restaurants,,"Los Angeles, CA 90032",213-477-3676,http://blackcatbbq.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0843277,-118.1707611,black-cat-bbq-los-angeles-2,true,f8Xm7g5WHMB50ocAnZuJkw
blaqhaus noho,BlaqHaus NoHo,Restaurants,Restaurants,"BlaqHaus NoHo, 11671 Victory Blvd., North Hollywood, (818) 332-0500,","11671 Victory Blvd North Hollywood, CA 91606",818-332-0500,https://www.restaurantnoho.com,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.1868798,-118.386856,blaqhaus-noho-north-hollywood-2,true,eCSw27Fbh6g06zl0zs-acw
blessed tropical jamaican cuisine,Blessed Tropical Jamaican Cuisine,Restaurants,Restaurants,,"901 S Prarie Ave Inglewood, CA 90301",310-330-0649,,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.95241,-118.34444,blessed-tropical-jamaican-cuisine-inglewood,true,JOAca31tsAbFBclIg-u80g
bloom & plume coffee,Bloom & Plume Coffee,Restaurants,Restaurants,"Artist and floral designer Maurice Harris recently opened a cafe next to his studio, selling coffee, merchandise and more. 1638-1640 W. Temple St., Los Angeles, (213) 908-5808, bloomandplume.com","1638 W Temple St Los Angeles, CA 90026",213-908-5808,https://bloomandplumecoffee.com/,https://www.latimes.com/lifestyle/story/2020-06-03/black-owned-businesses-in-los-angeles,34.06816,-118.26232,bloom-and-plume-coffee-los-angeles-4,true,25TCXWyE3hW3vbeKUI0Ohg
bludso's bar & que,Bludso's Bar & Que,Restaurants,Restaurants,,"609 N La Brea Ave Los Angeles, CA 90036",323-931-2583,https://www.barandque.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0821746,-118.3442326,bludsos-bar-and-que-los-angeles,true,Baqs3SIHR60lXxXAFkjTDg
bo daddy's bbq,Bo Daddy’s BBQ,Restaurants,Restaurants,,"1415 S Hill St Los Angeles, CA 90015",213-536-5210,https://www.bodaddys.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.03579025,-118.2639037,bo-daddy-s-bbq-los-angeles,true,ImWjgRhcohdWYTPUt4iaZw
bohemian house of espresso + chai,Bohemian House of Espresso + Chai,Restaurants,Restaurants,,"548 S Spring St R110 Los Angeles, CA 90013",213-628-3086,https://www.bohemianchai.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.04588261,-118.2506987,bohemian-house-of-espresso-chai-los-angeles,true,w_uQgLW_sYfK0hlhkAUynQ
boketto cold brew,Boketto Cold Brew,Restaurants,Restaurants,"Boketto delivers cold brew coffee directly to homes, offices and restaurants. It also has artisan teas and a cold-brew nitro bike that can be rented for events.","743 B S Broadway Los Angeles, CA 90014",310-490-5394,https://www.bokettocoldbrew.com/,https://www.latimes.com/lifestyle/story/2020-06-12/heres-a-list-of-black-owned-coffee-shops-in-la,34.044369,-118.254626,boketto-cold-brew-los-angeles,true,gIkMwGQifvOyOL35LGSDEg
bonnie b's smokin bbq heaven,Bonnie B's Smokin,Restaurants,Restaurants,,"1280 N Lake Ave Pasadena, CA 91104",626-794-0132,https://www.bonniebssmokin.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.16801,-118.13186,bonnie-bs-smokin-pasadena-3,true,CGTB0J-2FZdcEisDSlqmMw
brandoni pepperoni,Brandoni Pepperoni,Restaurants,Restaurants,Inventive riffs on Southern breakfast cuisine from formerly underground chefs in a low-key setting.,"7100 Santa Monica Blvd West Hollywood, CA 90046",323-306-4968,https://www.brandoni-pepperoni.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.089909,-118.344643,brandoni-pepperoni-west-hollywood,true,84SaHfwZcPp0c8uZdhyLOQ
bree's cakes,Bree's Cakes,Restaurants,Restaurants,,"6740 Reseda Blvd Unit D Reseda, CA 91335",805-444-2733,https://www.breescakes.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.1932743,-118.5356486,brees-cakes-reseda-2,true,FF_eYzLUYuwIVLNR2DXxHw
bridgetown roti,Bridgetown Roti,Restaurants,Restaurants,,"2029 Sheridan St Los Angeles, CA 90033",,https://www.instagram.com/bridgetown_roti/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
brother's bar-b-que,Brothers Bar-B-Que,Restaurants,Restaurants,"Brother’s Bar-B-Que, 7725 Crenshaw Blvd., Los Angeles, (323) 751-1050,","7725 Crenshaw Blvd Los Angeles, CA 90043",323-751-1050,http://www.brotherbarbequecatering.com,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.969372,-118.33121,brothers-bar-b-que-los-angeles,true,C93pdr3xaq_wU0Zj7LLs3A
brother's keeper bbq,Brothers Keeper BBQ,Restaurants,Restaurants,,"Long Beach, CA 90815",562-264-5955,https://www.brotherskeeperbbq.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.7896,-118.13151,brothers-keeper-bbq-long-beach,true,hONbZzpOMCGcM0byZCwmGQ
buna ethiopian restaurant & market,Buna Ethiopian Restaurant & Market,Restaurants,Restaurants,,"1034 S Fairfax Ave Los Angeles, CA 90019",323-964-9731,https://bunaethiopianmarket.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0570974,-118.3641842,buna-ethiopian-restaurant-and-market-los-angeles-2,true,FqyTKMzJVf54TlRnfp5lCQ
bundts on melrose,Bundts On Melrose,Restaurants,Restaurants,,"4147 Long Beach Blvd Long Beach, CA 90807",888-928-6387,http://www.bundtsonmelrose.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.833702,-118.1894949,bundts-on-melrose-long-beach,true,Yk04GDiahNjRWnpxQv3yug
busy baking,Busy Baking,Restaurants,Restaurants,"Busy Baking, 11861 S. Inglewood Ave., Hawthorne, (323) 919-3937,","11861 Inglewood Ave Hawthorne, CA 90250",323-919-3937,https://www.busybaking.info/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.9258337,-118.3617817,busy-baking-hawthorne,true,2qtwMYmHXlehB4M5_g09xw
cafe buna,Cafe Buna,Restaurants,Restaurants,,"552 Washington Blvd Marina del Rey, CA 90292",310-823-2430,https://cafe-buna.business.site/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.98316567,-118.4596348,cafe-buna-marina-del-rey,true,Y9wMzacINQ1Rm44vKpC-4Q
cafe creole,Cafe Creole,Restaurants,Restaurants,,"3650 W Martin Luther King Jr Blvd Ste 144 Los Angeles, CA 90008",323-389-8355,http://www.eatatcafecreole.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0109188,-118.3366526,cafe-creole-los-angeles,true,uPeWc6p4KLMHRve4OlLVEg
café ruisseau,Cafe Ruisseau,Restaurants,Restaurants,"Café Ruisseau, 12150 Millennium Drive, Los Angeles, (323) 561-0223,","12150 Millennium Dr Los Angeles, CA 90094",323-561-0223,https://caferuisseau.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.97961487,-118.4082239,cafe-ruisseau-los-angeles,true,IJgGV-hzD5Q1_VKjS-LbBg
cake buzz,Cake Buzz,Restaurants,Restaurants,,"2701 Artesia Blvd Redondo Beach, CA 90278",310-793-2899,https://cakebuzzla.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.87317,-118.36203,cake-buzz-redondo-beach-4,true,oRLC5NEsHUMjamSJ7QlB1Q
camille's,Camille's,Restaurants,Restaurants,,"2713 W Olive Ave Burbank, CA 91505",818-570-1734,https://www.facebook.com/camillesbakes4u/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.1595,-118.33169,camilles-burbank-2,true,_P37wku5YoW2G1fBp5eQJg
caribbean gourmet,Caribbean Gourmet,Restaurants,Restaurants,,"45 N San Gabriel Blvd Pasadena, CA 91107",323-447-0118,https://www.instagram.com/caribbeangourmet/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.14679337,-118.0948639,caribbean-gourmet-pasadena,true,pHzwgmIvx1FXUsFK4Kg2ew
castle's catering,Castle's Catering,Restaurants,Restaurants,,"4287 Crenshaw Blvd Los Angeles, CA 90008",818-724-4866,https://www.castlescatering.com,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0056987,-118.3342202,castles-catering-los-angeles-8,true,tJxpIxaw24l6vnu750G-5A
chef kiki's kitchen,Chef Kikis Kitchen,Restaurants,Restaurants,,"Los Angeles, CA 90007",323-861-1580,https://www.yelp.com/biz/chef-kikis-kitchen,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.02737808,-118.2835693,chef-kikis-kitchen-los-angeles,true,6G9AHe0HN-4NbL-yp5CyQw
chef marilyn's,Chef Marilyn's,Restaurants,Restaurants,"Chef Marilyn’s, 2638 Crenshaw Blvd., Los Angeles, (323) 737-8101,","2638 Crenshaw Blvd Los Angeles, CA 90016",323-737-8101,https://www.chefmarilyns2638.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.0312698,-118.3349851,chef-marilyns-los-angeles-2,true,0hddg8pBXwnGog0bmmIm9w
chicken n chips,Chicken N Chips,Restaurants,Restaurants,,"2728 Fletcher Dr Los Angeles, CA 90039",323-922-1070,https://chickennchips.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.1106822,-118.2507259,chicken-n-chips-los-angeles-2,true,IEElIOYoPqunZSgUx0h1-g
chipper & cheeky,Chipper & Cheeky,Restaurants,Restaurants,,"Los Angeles, CA 91353",661-537-3753,https://www.chipperandcheeky.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.21728,-118.3689,chipper-and-cheeky-los-angeles,true,c8HPHQSNWHCf9B4blpPwQA
chulita,Chulita,Restaurants,Restaurants,,"533 Rose Ave Venice, CA 90291",424-252-9886,https://www.chulita.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.99886,-118.47311,chulita-venice,true,OCkQdKMHU-LwWTWNe5leBA
cliff's texas style burritos,Cliff's Texas Style Burritos,Restaurants,Restaurants,,"408 W Alondra Blvd Compton, CA 90220",310-609-2755,http://www.cliffsburritos.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.88829422,-118.2285156,cliffs-texas-style-burritos-compton,true,i6VsCJtOlhEjAFVpHs5Q-g
cobbler mania,Cobblermania,Restaurants,Restaurants,,"8300 S Western Ave Golden Bird Los Angeles, CA 90047",323-316-4793,https://www.instagram.com/cobblermania/?hl=en,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.963428,-118.308866,cobblermania-los-angeles,true,7Q-F_lH7--VlnqaG1v3-6g
"cobblers, cakes & kream",Cobblers Cakes & Kream,Restaurants,Restaurants,,"2323 W Manchester Blvd Ste B Inglewood, CA 90305",323-455-1224,https://cobblerscakesandkream.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.96025,-118.31948,cobblers-cakes-and-kream-inglewood,true,iCHau6GTIdBbWU81RCSUoA
